ReviewText,ReviewStar,Product
"Right ear and Left ear audio ratio is not proper..
",1,PTron Intunes
"The sound quality, bass, composure is just perfectThe colour and the product quality is very robustIt can stand up to 3 hours in single charge and provides awesome music experience
",5,PTron Intunes
"Sound quality is excellent, and this is my first order from Amazon and I'm very happy with this order thanks Amazon 😊
",5,PTron Intunes
"good look but Sound Are to Bad ,And low ,noise and low sound , quality ,And If will do full valume So ,pain in Ear,so that ,not good product
",2,PTron Intunes
"Build of the central control is poor... Easily comes apart... The sound was good but the earphones basically does not work after few days of use
",2,PTron Intunes
"Voice is breaking voice quality is very bad
",1,PTron Intunes
"Pathetic battery backup. Bluetooth pairing keeps on going off. Not at all a product to buy
",2,PTron Intunes
"1, This product was not comfortable to use. Reason this no any grip and moving up and down.2. Automatically discounted bluetooth connection. Need to reconnect every time.3. Battry back up is not up to mark.
",2,PTron Intunes
"Battery is not good as expected
",4,PTron Intunes
"Wow what a design and build , i liked its box packing too as its like a premium one not only thus as using it for half of week i really enjoying the sound quality of wireless headphones...Reasons to buy this wireless headphones...are1. STEREO 5/52. SWEATPROOF 5/53. BUILD QUALITY 5/54. SOUND QUALITY 5/55. ITS PROMISING DESIGN 5/56. WEIGHT LESS 5/57. BASS 5/55/5 in each and everythingits a must buy headphones so please buy it if you are buying one..with Bluetooth version
",5,PTron Intunes
"Amazing sound quality bass is superb it feels very good listening songs on it .stylish design with magnetic effect .battery backup is also good as it lasts for long hours
",5,PTron Intunes
"I gifted this bluetooth headphones to my mom as she is loves music and is always doibg something or other. This could be of great help being wireless. She just loves them. The battery life us great. Also the colour is awesum. The sound is up to the mark. And the product looks promising...
",5,PTron Intunes
"Quality and Sound clarity is too good.Bass is also good and nice.Battery life is also good.Defintely you can buy this hearphone.
",5,PTron Intunes
"I am a prime customer of Amazon and I always purchase a product after so much research bought these Bluetooth earphones recently and trust me I am blown away. In this price such a awesome ""sound quality"" 10/10. ""Battery life"" seems good not tested for as described but will update soon. ""Durability"" 10/10 perfect fit no pain no discomfort....Really PTron has done a fantastic job with amazing music quality with superb bass in all highs mids & lows ..... Just go for it.
",5,PTron Intunes
"I am really impressed with this headsetIt takes only 1.5 hours to charge and working time is 3 hours with 80hours of standby time 😍The speakers are totally fine with frequency of 20Hz-20kHzI got one for me in the black colour .
",5,PTron Intunes
"Good product at budget friendly price. Work well along with equaliser settings as per our music comfort.I am satisfied with product and enjoying संगीत। 😊😇🎼🎶
",4,PTron Intunes
"Purchased these headphones from Amazon and were timely delivered. I've been using these headphones for a week now, here's a review -PROS :1. Sound quality is crisp - high, mid and low (bass) notes are clear and headphones are loud enough. Given these are not in-the-ear headphones, I still need to keep volume at around 50-75%. But I really think loudness could differ from one mobile phone to another.2. Battery is ok I guess, these are my first Bluetooth headphones so won't be able to compare. Once fully charged I can use headphones for 3-4 hrs.CONS:Only the earbuds/tips need some improvement, they slip out easily. Other than that can't think of other points.*Regarding durability can't comment at this point of time.
",4,PTron Intunes
"very nice product. Sound quality is awesome. good fitting inside ear. battery backup is approx 2.5-3 hours. best piece of tech in this price range
",5,PTron Intunes
"Really loved this product and will recommend it to everyone. The product looks fancy yet is not expensive. I opted for grey color but other two variants are equally appealing. Takes negligible time to connect with server. Sound quality is very good and those magnet provided at the back of ear plugs makes it very handy to carry. Battery life is also good plus the noise cancellation is also effective. Overall it is a good product, worth the price and one should go for it.
",5,PTron Intunes
"It has really great sound quality and noise cancellation is also good it give 5-7 hrs of battery backup in a single charge,  love this product
",5,PTron Intunes
"Best wireless headset in the budget. Good quality at this price sweatproof wireless stereo headset . Easily chargable and good battery life with 1 year warranty .. voice is really good.
",5,PTron Intunes
