Description,Vague/Not
"Room for rent - Available September 1st ... until December 31st ... OR longer .... 

* $869 per month

** Apartment is shared (in an apartment building, not a house)
** Shared living room, kitchen and bathroom

** bedroom (10 feet x 10 feet) is furnished (desk, bed and shelves), window, and closet.

- rent includes heat, electricity, water
- rent does NOT include internet - it is available for $25 / month

- Located in a quiet and safe residential area... known as ""The Annex""

- University of Toronto and Saint George subway station is just 4 minutes walking distance from apartment.... and George Brown College (Casa Loma Campus) is 10 minutes away

- Everything you could possibly need within 10 minutes walking distance (grocery stores, drug stores, banks, beer store, LCBO, numerous restaurants, coffee shops, gyms, etc)

- Laundry room in the building

- Looking for non-smokers only

**** Please indicate the period of time that you are interested in living here (starting and ending dates), and let me know if you are working or a student, and a bit about what you do outside of work / school, and your phone number.

Thanks!",1
"Available now. Students welcome.
Rent $2700 plus gas and hydro. 
Living room plus three bedrooms. 
Entire main floor of a house.
Over 700 sq. ft. with separate entrance.
Private laundry in the unit. Shared outdoor space with one. 
Kitchen with ceramic, dishwasher, microwave, fridge and stove.
Central Air / Heat. New paint throughout.
One parking for a small car at $80/ month or permit parking available.

Viewings by appointment only, via e-mail to Nadeem.
Showings: Tue, Wed and Fri 5:00 P.M - 6:00 P.M. Ask for weekends availability. 
No dogs please and non-smokers only (tobacco, cannabis) for health reasons.
Min. one year lease. Shorter 9 months lease possible with students. References required with application. 
First and last month’s rent required at the time of lease signing.

Cabbagetown is one of Toronto’s central neighbourhood with walk/ ride score of 96. Walk to College streetcar (503) in 3 min. Walk to Yonge/ College subway, Allan Gardens, Yonge/ Dundas Square. Easy access to Ryerson, George Brown College, U of T.",1
"3 bedrooms, 2 bathrooms at Bayview/John. Thornhill community centre and mall, near 407, schools, library, new furnace and AC, 3 levels, G/F : dining room, living room, kitchen; 1/F: 3 bedrooms, 1 bathroom ; basement: family
room, 1 bathroom, furnace, laundry room, and backyard looking for long term tenant with good credit report and income. Monthly rent is $ 2500 not include gas and hydro, available immediately",1
"Available now. Rent includes laundry, internet, all utilities and furniture if you require. We are a casual house. No smoking inside. A couple or two persons is possible. We have other rooms larger and smaller also available.. We are a 3 minute walk to Subway station on a quiet safe street.",0
"1 Bedroom + Den | 1 Bathroom, Upgraded Kitchen, Granite Countertops, Backsplash, Stainless Steel Appliances, Balcony, Close to Keele Street, Lawerence Avenue West, Allen Road, Highway 401, Highway 427, DVP, Humber River Hospital, Yorkdale Subway Station, Caledonia Park and North Park. Near Yorkdale Shopping Centre, Restaurants, Bars, Public Transit, Parks and Fitness Facilities

Call or Text: 
 
Email: Properties @ RoyalYorkPM.com 

216-2522 Keele Street, Toronto, Ontario M6L 2N8
Keele Street and Lawerence Avenue West

Tons of Natural Light!!

$1,850 (Parking and Locker Available at Extra Cost)
Discounted Cable,Phone & Internet (Throughout The Term) 

UNIT AMENITIES:
– 1 Bedroom + Den | 1 Bathroom 
– Upgraded Kitchen
– Granite Countertops
– Backsplash 
– Stainless Steel Appliances 
– Private Balcony
– En-suite Laundry 

BUILDING AMENITIES: 
– Rooftop Deck
– Bicycle Room
– Party Room
– Meeting Room

Available Immediately!!

** Call or Text: 
 **",1
"Well maintained ,Modern, Custom Upgraded, very bright,2 bedroom +Den newly and beautifully renovated located in the beautiful Birchmount/Kennedy & Eglinton community. a child friendly area. • Open concept kitchen • renovated kitchen and bathroom • Utility Rm with Laundry and Sink • Parking space is available • Location: Less than 5 minute walk to bus stop and 10 minutes from Kennedy subway station,1 minute walk to elementary school and large park
Minutes from grocery, shopping• requirements: rental application, tenant ID, employment letter , proof of income, reference check, credit score, 1 year lease (first and last month rent plus 10 post dated checks ) 
PLEASE NOTE : ONLY the email with Self-intro will be responded ( e.g. your occupation, where are you from , WHEN are you planning to move-in , how long are looking rent, etc .) 
please contact me if you have any question.",1
"Monthly Furnished Room with fridge, microwave, and sink. Shared bathroom + well-furnished kitchen. Located in Victorian style house. 7 minute walk to Eaton center. Hydro + Wifi included. Monthly rent equivalent to 720$/month, calculated as 960$/month with 3rd, 7th, and 11th month free. Monthly contract. Available immediately. Working people with proof of income and students only. For fastest response, please call me or send me a text message. Thank you!",0
"Bright and Cozy Bachelor Unit on Lower Level, in the vibrant St Clair Ave west area
New Flooring, Stainless cooktop, Build in Microwave and fridge
All-Utility Inclusive, Street Car at the door
Minutes Entertainment District and Parks, Great Location!
An Affordable Option for Those Looking to Live in Toronto.
Good for a single tenant only.
Application and Equifax Report required.
Landlord reference required. Minimum One Year Lease
First and Last Month required upon signing the lease.
Quiet tenants only, No Pets allowed, No Smoking.
This is a deal not to be missed. Available August 1st",0
"Available Sept 15 (maybe a week earlier, if needed!)

Rent: $975/month
Rent includes all utilities + high speed fibrestream wifi ($25)
Can help with furnishings, if needed.

This is a clean loft with high ceilings, in-suite washer/dryer, dishwasher, heat & A/C

Location: Queen West across from the Drake Hotel. Closest intersection Queen and Dovercourt. 1 minute away from the Queen streetcar stop. In the heart of what Vogue calls the second best neighbourhood in the world!! 5 min away from Metro and Fresh Co grocery stores, near lots of bars, restaurants, shops, galleries.

Shared with:
Tica: Singer/Songwriter extraordinaire with the kindest heart
Zack: Sculptor and Film Crew, chill dude
Nicole: Social worker and social butterfly
Midnight: Jet-black doggo, sweet pupper
(all mid-20s, working, chill and respectful folks)

Looking for someone who is: clean and respectful of shared living, covid-responsible, eco-friendly and all-round good people!",1
"Share Detached House! Eglinton and Erin Mills Pkwy Mississauga
- For One Person Only (non smoker, no pets)
- Great Area Close To Transportation and Parks. 2 minutes North of Erin Mills Town Centre

- Reply With Your Phone Number for Additional Info and state Best Time Range To Call You

- Parking is Available",1
"FIDO FRIENDLY BUILDING LOCATED IN THE LOWER JUNCTION. COMMERCIAL STUDIOS FOR LEASE.

- 700 SQUARE FEET UNIT IN MOVE IN CONDITION.
$1890.00
- 650 SQUARE FEET UNIT WITH LOFT, KITCHENETTE, HARDWOOD FLOOR AND WINDOW, LOCATED ON THE SECOND FLOOR
$1550.00
- 620 SQUARE FEET UNIT WITH BEAUTIFUL POLISHED CONCRETE FLOORS, LARGE GLASS BLOCK WALL, SKYLIGHT AND HIGH CEILINGS.
$2170.00 
- 800 SQUARE FEET UNIT WITH LARGE WINDOWS WITH STREET EXPOSURE IN MOVE IN CONDITION
$3290.00
-850 SQUARE FEET UNIT WITH OUTSIDE ENTRANCE LOCATED IN THE LANEWAY
$2550.00
- 1200 SQUARE FEET BRIGHT NEWLY RENOVATED UNIT WITH WINDOWS, WASHROOM, KITCHENETTE LOCATED ON THE SECOND FLOOR.
$2550.00
- 1500 SQUARE FEET UNIT WITH LARGE GLASS BLOCK, KITCHENETTE, WASHROOM AND IN MOVE IN CONDITION.
$3740

- 

TO SCHEDULE A VIEWING PLEASE EMAIL OR CALL .
Tel:",0
"Room for rent - Available September 1st ... until December 31st ... OR longer .... 

* $869 per month

- rent includes heat, electricity & water
- rent does NOT include internet --- it is available for $25 / month

- Apartment is shared (in an apartment building, not a house)
- Shared living room, kitchen & bathroom

** bedroom (10 feet x 10 feet) is furnished (desk, bed and shelves), window, & closet

** building is located in a quiet and safe residential area, called ""The Annex""

** University of Toronto & the St. George subway station is only 4 minutes walking distance from the apartment. George Brown College (Casa Loma Campus) is 10 minutes walking distance away!!

** Everything you possibly would need is within 10 minutes walking distance (grocery stores, drug stores, banks, beer store, LCBO, many restaurants, coffee shops, gyms, library, etc)!!

* Laundry room in the building

* non-smokers only!

***** Please specify the period of time (starting and ending dates) that you are interested in living here. Also, let me know if you are working or a student, and a bit about what you do outside of work or school, and your phone number.

Thank you very much!",1
"1760, 1770 and 1780 Wilson Avenue (2 Bedroom)

Starting at $ 1,850.00 and up, plus hydro and parking. 

Beautiful, newly renovated bachelor units in a central location of North York. Close to plenty of amenities for your convenience: North Sheridan Mall, Chalkfarm Park, multiple grocery stores and shops, Seneca College, Oakdale Golf and Country Club, and much more. Everything you need is in walking-distance!

Very close to the 400/401, next to bus stops 96, 96A, 96B, 96D, 96S, 118, 119, 165 and with busses to York Mills Station for easy commuting. 6 minutes to Pearson International Airport.

Please call Lena 
 for information and availability. 
You can also visit our Website at http://www.goldenequity.ca",1
"Share 1 1/2 bath **** $720 FIRM**** 
 
**************MAGNIFICENT VIEW***** 
 
Top Floor, Balcony - Great view of the city including CN Tower & Lake Ontario 
 
Available Sept 1st 
 
DON MILLS SUBWAY / FAIRVIEWMALL - 2 ALL NIGHT BUSES Sheppard & Don Mills + 
Viva Bus Stop
 
Religious-Friendly / Gay-Friendly / Race-Friendly / Pet-Friendly No more pets allowed 
 
Included: All Utilities & Basic TV service. Digital Box in each room 
UNFURNISHED Desk ONLY 
EXTRA: OUTDOOR Parking $75 (If needed) + 
Extra: $80 A/C service every Summer - DEFINITELY Needed 
 
Looking for 1 more Roommate ONLY / Male or Female - Any RACE or AGE 
Presently two (2) Male Roommates - Multiracial Easy-Going Environment. 
Share common areas in Apt. Large Living Rm, Kitchen / Balcony / 1 1/2 Bath. UNFURNISHED ROOM but has a double bed I- if needed. Very safe & clean building and neighborhood. 
 
One Small Maltese DOG in Apt - Hypoallergenic / Non-Shedding 
NO MORE PETS. MUST COMFORTABLE WITH A DOG! 
 
NO EXCEPTIONS: Common areas must be kept clean at all times. Shared cleaning or PAY EXTRA. 
 
NO EXCEPTIONS ***REQUIRED: First & lAST. 
RENT MUST ALWAYS BE PAID BEFORE 9am the first of every month. 
 
**NO SMOKING IN APT (MEDICAL REASONS) – Some Exceptions on the Balcony ONLY**
TXT OR EMAIL ONLY",0
